True Class,Predicted Class,Frequency
CLEARWING MOTH,HUMMING BIRD HAWK MOTH,5
BANDED TIGER MOTH,GARDEN TIGER MOTH,4
POLYPHEMUS MOTH,EMPEROR GUM MOTH,3
BIRD CHERRY ERMINE MOTH,GIANT LEOPARD MOTH,3
SIXSPOT BURNET MOTH,CINNABAR MOTH,3
CLEARWING MOTH,SIXSPOT BURNET MOTH,2
GARDEN TIGER MOTH,WHITE LINED SPHINX MOTH,2
HUMMING BIRD HAWK MOTH,EMPEROR GUM MOTH,2
POLYPHEMUS MOTH,ARCIGERA FLOWER MOTH,2
ARCIGERA FLOWER MOTH,HUMMING BIRD HAWK MOTH,2
ARCIGERA FLOWER MOTH,POLYPHEMUS MOTH,1
ARCIGERA FLOWER MOTH,HERCULES MOTH,1
ATLAS MOTH,HERCULES MOTH,1
BANDED TIGER MOTH,WHITE LINED SPHINX MOTH,1
BIRD CHERRY ERMINE MOTH,LUNA MOTH,1
CINNABAR MOTH,ROSY MAPLE MOTH,1
CLEARWING MOTH,ARCIGERA FLOWER MOTH,1
EMPEROR GUM MOTH,HUMMING BIRD HAWK MOTH,1
HERCULES MOTH,OLEANDER HAWK MOTH,1
HUMMING BIRD HAWK MOTH,SIXSPOT BURNET MOTH,1
HUMMING BIRD HAWK MOTH,ARCIGERA FLOWER MOTH,1
IO MOTH,EMPEROR GUM MOTH,1
POLYPHEMUS MOTH,CLEARWING MOTH,1
SIXSPOT BURNET MOTH,CLEARWING MOTH,1
EMPEROR GUM MOTH,POLYPHEMUS MOTH,1
POLYPHEMUS MOTH,HUMMING BIRD HAWK MOTH,1
WHITE LINED SPHINX MOTH,HUMMING BIRD HAWK MOTH,1
WHITE LINED SPHINX MOTH,ATLAS MOTH,1
WHITE LINED SPHINX MOTH,BANDED TIGER MOTH,1
HERCULES MOTH,EMPEROR GUM MOTH,1
